PRODUCERS
Monitor1		
M	N	accesTime
1000	10	673.5555556
1000	100	4720.26087
1000	1000	33381.94372
10000	10	351.125
10000	100	9985.21875
10000	1000	39248.32157
100000	10	5571.111111
100000	100	3105.92
100000	1000	24237.52047

Monitor2		
M	N	accesTime
1000	10	25438.6
1000	100	2432.75
1000	1000	98005.39013
10000	10	22.1
10000	100	199.8586957
10000	1000	33488.004
100000	10	26.6
100000	100	981.94
100000	1000	50772.72248

CONSUMERS
Monitor1		
M	N	accesTime
1000	10	609.2222222
1000	100	5284.32
1000	1000	21431.21496
10000	10	961.875
10000	100	7501.55
10000	1000	21946.50307
100000	10	7401.8
100000	100	1810.8625
100000	1000	13597.04437

Monitor2
M	N	accesTime
1000	10	791.2
1000	100	11278.61856
1000	1000	20091.69314
10000	10	348.8888889
10000	100	3192.191919
10000	1000	34155.9545
100000	10	125
100000	100	2999.85
100000	1000	3614.528258

